Nro		Raíz Quadrada
1		1.00000000
2		1.41421356
3		1.73205081
4		2.00000000
5		2.23606798
6		2.44948974
7		2.64575131
8		2.82842712
9		3.00000000
10		3.16227766
11		3.31662479
12		3.46410162
13		3.60555128
14		3.74165739
15		3.87298335
16		4.00000000
17		4.12310563
18		4.24264069
19		4.35889894
20		4.47213595
21		4.58257569
22		4.69041576
23		4.79583152
24		4.89897949
25		5.00000000
26		5.09901951
27		5.19615242
28		5.29150262
29		5.38516481
30		5.47722558
31		5.56776436
32		5.65685425
33		5.74456265
34		5.83095189
35		5.91607978
36		6.00000000
37		6.08276253
38		6.16441400
39		6.24499800
40		6.32455532
41		6.40312424
42		6.48074070
43		6.55743852
44		6.63324958
45		6.70820393
46		6.78232998
47		6.85565460
48		6.92820323
49		7.00000000
50		7.07106781
51		7.14142843
52		7.21110255
53		7.28010989
54		7.34846923
55		7.41619849
56		7.48331477
57		7.54983444
58		7.61577311
59		7.68114575
60		7.74596669
61		7.81024968
62		7.87400787
63		7.93725393
64		8.00000000
65		8.06225775
66		8.12403840
67		8.18535277
68		8.24621125
69		8.30662386
70		8.36660027
71		8.42614977
72		8.48528137
73		8.54400375
74		8.60232527
75		8.66025404
76		8.71779789
77		8.77496439
78		8.83176087
79		8.88819442
80		8.94427191
81		9.00000000
82		9.05538514
83		9.11043358
84		9.16515139
85		9.21954446
86		9.27361850
87		9.32737905
88		9.38083152
89		9.43398113
90		9.48683298
91		9.53939201
92		9.59166305
93		9.64365076
94		9.69535971
95		9.74679434
96		9.79795897
97		9.84885780
98		9.89949494
99		9.94987437
100		10.00000000
